	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S294	L3S313	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L4S63	0.8371257185935974	0.846917986869812	0.8810230493545532	0.8789128065109253	0.8998011350631714	0.8872087597846985	0.884392261505127	0.8642833828926086	0.466815322637558	0.5048977136611938	0.4725286662578583	0.5337555408477783	0.7286671996116638	0.3950014710426331	0.6265286803245544	0.6994938850402832	0.5844261050224304	0.6841937303543091	0.8559672832489014	0.4584659039974213	0.6431704163551331	0	0.7322855591773987	0.797034740447998	0.7955269813537598	0.7655338048934937	0.7715598940849304	0.7846274375915527	0.7706342339515686	0.7631574869155884	0.7733215093612671
L5S104	0.7499163746833801	0.7352176904678345	0.7911664247512817	0.8338338732719421	0.8258653879165649	0.8087247610092163	0.82575523853302	0.7829005718231201	0.7164122462272644	0.6770500540733337	0.7318499684333801	0.8090268969535828	0.4279821217060089	0.6764017939567566	0.5639936327934265	0.6619620323181152	0.5995938777923584	0.6102524399757385	0.692246675491333	0.6984728574752808	0.5585340261459351	0.7322855591773987	0	0.2909935116767883	0.3695280253887177	0.3169196844100952	0.3164236843585968	0.3468611240386963	0.4343434274196625	0.3794713914394379	0.3566320240497589
L5S155	0.7084968090057373	0.6930270791053772	0.7524817585945129	0.8054181933403015	0.7938740849494934	0.7715024352073669	0.7961875200271606	0.7418327927589417	0.7867504358291626	0.7089213132858276	0.7967559695243835	0.8516026139259338	0.3982305824756622	0.7436280846595764	0.6596860885620117	0.6899245381355286	0.6697880029678345	0.5561836957931519	0.6366320848464966	0.7683011293411255	0.66386479139328	0.797034740447998	0.2909935116767883	0	0.2717219293117523	0.2323298156261444	0.2204847037792206	0.1796219646930695	0.4189497530460358	0.3643017113208771	0.3232905268669128
L5S174	0.7592619061470032	0.7135385274887085	0.7960357069969177	0.8023668527603149	0.8321660161018372	0.820371687412262	0.8105537295341492	0.7645500302314758	0.7924667000770569	0.7093243598937988	0.800188422203064	0.8478628396987915	0.3802007138729095	0.754703164100647	0.6923874020576477	0.6082862019538879	0.6802369356155396	0.6032453179359436	0.6670482754707336	0.7720965147018433	0.593576967716217	0.7955269813537598	0.3695280253887177	0.2717219293117523	0	0.3594584465026855	0.1749935448169708	0.2769735753536224	0.2911284565925598	0.2803291976451874	0.3159419894218445
L5S203	0.7271271944046021	0.7174620032310486	0.7535468339920044	0.8130061030387878	0.7884549498558044	0.7843581438064575	0.8059678673744202	0.7689398527145386	0.7471057772636414	0.6478893756866455	0.7667349576950073	0.8238967061042786	0.3351358473300934	0.7069759964942932	0.5981630682945251	0.6219067573547363	0.6615757942199707	0.5494139790534973	0.6718929409980774	0.7377898693084717	0.6084080934524536	0.7655338048934937	0.3169196844100952	0.2323298156261444	0.3594584465026855	0	0.3037029206752777	0.2777601182460785	0.3996291160583496	0.3113577663898468	0.2575846612453461
L5S222	0.7480000853538513	0.7022576332092285	0.789386510848999	0.7929124236106873	0.822368323802948	0.8094636201858521	0.7997481822967529	0.7514696717262268	0.7651823759078979	0.6826555728912354	0.7805778980255127	0.8302972912788391	0.3718830645084381	0.7220410108566284	0.6421613693237305	0.6140902042388916	0.6467017531394958	0.5761022567749023	0.6533079147338867	0.748867928981781	0.5825367569923401	0.7715598940849304	0.3164236843585968	0.2204847037792206	0.1749935448169708	0.3037029206752777	0	0.2439456880092621	0.3388600647449493	0.3208363652229309	0.3421434164047241
L5S240	0.7219341397285461	0.6674777865409851	0.7461351156234741	0.7873784303665161	0.78812575340271	0.7838670611381531	0.7712058424949646	0.7149821519851685	0.7563384175300598	0.6585947275161743	0.7836129665374756	0.833930492401123	0.3132876455783844	0.7297632694244385	0.6523112654685974	0.6433342099189758	0.6711362600326538	0.5530277490615845	0.6078177690505981	0.7562594413757324	0.6454816460609436	0.7846274375915527	0.3468611240386963	0.1796219646930695	0.2769735753536224	0.2777601182460785	0.2439456880092621	0	0.334608256816864	0.2309765666723251	0.3230097591876984
L6S20	0.7617722749710083	0.7326311469078064	0.7872272133827209	0.8055896162986755	0.8148888349533081	0.8124145865440369	0.8110779523849487	0.7781786918640137	0.7449700236320496	0.6735228896141052	0.7720334529876709	0.8207736015319824	0.3257132768630981	0.7490056157112122	0.6796069145202637	0.5208796262741089	0.7258651852607727	0.6433711647987366	0.7027177214622498	0.7466022968292236	0.5639141201972961	0.7706342339515686	0.4343434274196625	0.4189497530460358	0.2911284565925598	0.3996291160583496	0.3388600647449493	0.334608256816864	0	0.2321988791227341	0.3306646049022675
L6S68	0.7537314295768738	0.7165629863739014	0.771959662437439	0.7962043881416321	0.807428240776062	0.8089232444763184	0.797433078289032	0.7558020949363708	0.750053346157074	0.6422498226165771	0.774781346321106	0.8163515329360962	0.2744393646717072	0.7352471351623535	0.6464288830757141	0.5591498017311096	0.6962698101997375	0.6186659932136536	0.6784010529518127	0.7410582900047302	0.5452490448951721	0.7631574869155884	0.3794713914394379	0.3643017113208771	0.2803291976451874	0.3113577663898468	0.3208363652229309	0.2309765666723251	0.2321988791227341	0	0.1898461729288101
L6S93	0.7468210458755493	0.7425599098205566	0.7685574293136597	0.8138636350631714	0.8029510974884033	0.8041112422943115	0.8228915333747864	0.7832350134849548	0.7700520753860474	0.658375084400177	0.7821569442749023	0.8314344882965088	0.3430295288562775	0.7433947324752808	0.6557378172874451	0.5618730783462524	0.7102738618850708	0.61839759349823	0.7054123878479004	0.7521544098854065	0.5337406396865845	0.7733215093612671	0.3566320240497589	0.3232905268669128	0.3159419894218445	0.2575846612453461	0.3421434164047241	0.3230097591876984	0.3306646049022675	0.1898461729288101	0
