	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S294	L3S313	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L4S137	0.9927470534904805	0.9972801450589301	0.9981867633726201	0.9981867633726201	1.0	1.0	1.0	0.9972801450589301	0.757026291931097	0.6137805983680871	0.8667271078875793	0.8594741613780599	0.7978241160471442	0.6364460562103355	0.5757026291931097	0.4904805077062557	0.8168631006346329	0.6790571169537625	0.9981867633726201	0.5602901178603807	0.0	0.7479601087941976	0.785131459655485	0.8213961922030825	0.8458748866727108	0.7669990933816863	0.8304623753399819	0.7878513145965549	0.8259292837715322	0.7778785131459656	0.7316409791477788
L4S63	0.9900271985494107	0.9927470534904805	0.9981867633726201	0.9981867633726201	1.0	1.0	1.0	0.99909338168631	0.6745240253853128	0.6681776971894833	0.7606527651858568	0.7325475974614687	0.8930190389845875	0.46237533998186764	0.5557570262919311	0.7978241160471442	0.7552130553037172	0.6219401631912964	0.9963735267452403	0.5557570262919311	0.7479601087941976	0.0	0.9075249320036265	0.9129646418857661	0.9138712601994561	0.9084315503173164	0.9057116953762466	0.899365367180417	0.9174977334542158	0.8930190389845875	0.8948322756119673
L5S104	0.9963735267452403	1.0	0.9972801450589301	1.0	1.0	0.9963735267452403	0.9963735267452403	0.9936536718041704	0.8422484134179511	0.8223028105167725	0.929283771532185	0.9492293744333635	0.43336355394378967	0.8268359020852222	0.8132366273798731	0.8349954669084315	0.9265639165911151	0.8340888485947416	0.9981867633726201	0.8168631006346329	0.785131459655485	0.9075249320036265	0.0	0.38803263825929285	0.5086128739800544	0.31912964641885766	0.45058930190389845	0.37805983680870353	0.614687216681777	0.4786944696282865	0.5883952855847688
L5S155	0.9945602901178604	0.9945602901178604	0.9918404351767905	0.9945602901178604	0.9945602901178604	0.9945602901178604	0.9945602901178604	0.9918404351767905	0.8966455122393472	0.8513145965548504	0.9619220308250227	0.956482320942883	0.4487760652765186	0.8830462375339981	0.8640072529465095	0.8739800543970988	0.9528558476881233	0.8241160471441523	0.9927470534904805	0.8513145965548504	0.8213961922030825	0.9129646418857661	0.38803263825929285	0.0	0.4913871260199456	0.2184950135992747	0.35086128739800543	0.4315503173164098	0.6627379873073436	0.5693563009972802	0.6645512239347234
L5S174	1.0	1.0	0.9972801450589301	1.0	1.0	1.0	1.0	0.9972801450589301	0.9138712601994561	0.8721668177697189	0.9619220308250227	0.956482320942883	0.5194922937443336	0.9057116953762466	0.8848594741613781	0.8966455122393472	0.9510426110607434	0.8721668177697189	0.9981867633726201	0.8739800543970988	0.8458748866727108	0.9138712601994561	0.5086128739800544	0.4913871260199456	0.0	0.4252039891205802	0.3871260199456029	0.5385312783318223	0.6101541251133273	0.5956482320942883	0.5648232094288305
L5S203	1.0	0.9981867633726201	0.9954669084315503	0.9981867633726201	0.9981867633726201	1.0	1.0	0.9972801450589301	0.8513145965548504	0.7960108794197642	0.9483227561196736	0.9446962828649139	0.42611060743427015	0.844061650045331	0.8223028105167725	0.8186763372620127	0.9238440616500453	0.814143245693563	0.9963735267452403	0.8087035358114234	0.7669990933816863	0.9084315503173164	0.31912964641885766	0.2184950135992747	0.4252039891205802	0.0	0.24660018132366274	0.42339075249320035	0.5530371713508613	0.4913871260199456	0.5747960108794198
L5S222	1.0	1.0	0.9972801450589301	1.0	1.0	1.0	1.0	0.9981867633726201	0.9102447869446962	0.8776065276518585	0.957388939256573	0.9501359927470535	0.47053490480507704	0.8912058023572076	0.885766092475068	0.8884859474161378	0.9510426110607434	0.8803263825929284	0.9981867633726201	0.8757932910244787	0.8304623753399819	0.9057116953762466	0.45058930190389845	0.35086128739800543	0.3871260199456029	0.24660018132366274	0.0	0.5077062556663645	0.5838621940163191	0.4932003626473255	0.5621033544877606
L5S240	0.99909338168631	0.9918404351767905	0.9909338168631007	0.9918404351767905	0.9918404351767905	1.0	1.0	0.9972801450589301	0.8966455122393472	0.8495013599274706	0.9510426110607434	0.942883046237534	0.1414324569356301	0.8476881233000907	0.8023572076155938	0.8585675430643699	0.9510426110607434	0.8513145965548504	0.9900271985494107	0.8132366273798731	0.7878513145965549	0.899365367180417	0.37805983680870353	0.4315503173164098	0.5385312783318223	0.42339075249320035	0.5077062556663645	0.0	0.3372620126926564	0.2384406165004533	0.43789664551223934
L6S20	0.99909338168631	0.9972801450589301	0.9945602901178604	0.9972801450589301	0.9972801450589301	1.0	1.0	0.9972801450589301	0.9320036264732547	0.9084315503173164	0.9510426110607434	0.9374433363553943	0.33363553943789664	0.8957388939256573	0.8476881233000907	0.8848594741613781	0.9555757026291931	0.9075249320036265	0.9954669084315503	0.8612873980054397	0.8259292837715322	0.9174977334542158	0.614687216681777	0.6627379873073436	0.6101541251133273	0.5530371713508613	0.5838621940163191	0.3372620126926564	0.0	0.27923844061650044	0.46509519492293744
L6S68	0.99909338168631	1.0	0.9972801450589301	1.0	1.0	1.0	1.0	0.9972801450589301	0.9029918404351768	0.8694469628286491	0.9419764279238441	0.9356300997280145	0.2157751586582049	0.8522212148685403	0.8123300090661831	0.8522212148685403	0.9410698096101541	0.886672710788758	0.9981867633726201	0.8232094288304623	0.7778785131459656	0.8930190389845875	0.4786944696282865	0.5693563009972802	0.5956482320942883	0.4913871260199456	0.4932003626473255	0.2384406165004533	0.27923844061650044	0.0	0.4252039891205802
L6S93	0.9945602901178604	0.9963735267452403	0.9936536718041704	0.9963735267452403	0.9963735267452403	1.0	1.0	0.9972801450589301	0.8821396192203083	0.843155031731641	0.9365367180417045	0.9265639165911151	0.43789664551223934	0.8340888485947416	0.7869446962828649	0.8105167724388033	0.9338168631006346	0.8558476881233001	0.9945602901178604	0.7951042611060744	0.7316409791477788	0.8948322756119673	0.5883952855847688	0.6645512239347234	0.5648232094288305	0.5747960108794198	0.5621033544877606	0.43789664551223934	0.46509519492293744	0.4252039891205802	0.0
